timestamp,bid_open,bid_low,bid_high,bid_close,ask_open,ask_low,ask_high,ask_close,price_open,price_low,price_high,price_close,price_mean,volume,open_interest
2024-10-04 13:00:00,49,49,49,49,100,50,100,50,49.0,49.0,51.0,50.0,50.0,1715,1659
2024-10-04 14:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,49.0,49.0,26846,28460
2024-10-04 15:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,74978,103126
2024-10-04 16:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,49.0,21705,105010
2024-10-04 17:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,39835,125811
2024-10-04 18:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,49.0,3390,127830
2024-10-04 19:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,3382,130330
2024-10-04 20:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,3804,133885
2024-10-04 21:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,21784,136615
2024-10-04 22:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,1718,137647
2024-10-04 23:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,50.0,2047,139692
2024-10-05 00:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,40182,140755
2024-10-05 01:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,173,140928
2024-10-05 02:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,49.0,49.0,1911,141513
2024-10-05 03:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,49.0,10096,151316
2024-10-05 04:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,3718,151640
2024-10-05 13:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,930,152470
2024-10-05 14:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,2020,154427
2024-10-05 15:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,4365,155633
2024-10-05 16:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,50.0,2308,157938
2024-10-05 17:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,1506,159153
2024-10-05 18:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,1786,160882
2024-10-05 19:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,216,161050
2024-10-05 20:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,742,161792
2024-10-05 21:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,260,161876
2024-10-05 22:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,1888,163625
2024-10-05 23:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,275,163704
2024-10-06 00:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,2394,166088
2024-10-06 01:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,565,166633
2024-10-06 02:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,701,167088
2024-10-06 13:00:00,49,49,49,49,50,50,50,50,49.0,49.0,49.0,49.0,49.0,1,167089
2024-10-06 14:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,244,167228
2024-10-06 15:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,302,167530
2024-10-06 16:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,311,167841
2024-10-06 17:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,550,168391
2024-10-06 18:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,259,168650
2024-10-06 19:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,491,169141
2024-10-06 20:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,232,169373
2024-10-06 21:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,49.0,15551,169759
2024-10-06 22:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,49.0,136,169894
2024-10-06 23:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,983,170251
2024-10-07 00:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,276,170527
2024-10-07 01:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,449,170976
2024-10-07 02:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,10815,170487
2024-10-07 03:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,673,170930
2024-10-07 04:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,820,171750
2024-10-07 13:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,3882,175632
2024-10-07 14:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,7672,175713
2024-10-07 15:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,29431,157936
2024-10-07 16:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,32628,175488
2024-10-07 17:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,7536,177214
2024-10-07 18:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,49.0,15159,179968
2024-10-07 19:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,49.0,135237,310164
2024-10-07 20:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,7865,310264
2024-10-07 21:00:00,49,49,49,49,50,50,50,50,49.0,49.0,50.0,50.0,49.0,7092,310981
2024-10-07 22:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,25227,311225
2024-10-07 23:00:00,49,49,50,50,50,50,51,51,50.0,50.0,51.0,51.0,50.0,30420,315274
2024-10-08 00:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,50.0,50.0,20974,317274
2024-10-08 01:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,15023,317774
2024-10-08 02:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,4258,318880
2024-10-08 03:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,8604,319730
2024-10-08 04:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,50.0,50.0,2959,320170
2024-10-08 13:00:00,50,49,50,49,51,50,51,50,51.0,49.0,51.0,50.0,49.0,38143,343325
2024-10-08 14:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,5830,343325
2024-10-08 15:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,50.0,5124,343332
2024-10-08 16:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,8152,343532
2024-10-08 17:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,13355,343568
2024-10-08 18:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,49.0,50.0,6458,343573
2024-10-08 19:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,59561,394923
2024-10-08 20:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,50.0,23841,394924
2024-10-08 21:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,15516,397080
2024-10-08 22:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,1279,397080
2024-10-08 23:00:00,49,49,50,50,50,50,51,51,50.0,50.0,51.0,51.0,50.0,112132,462485
2024-10-09 00:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,6327,462005
2024-10-09 01:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,6827,457005
2024-10-09 02:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,3143,457004
2024-10-09 03:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,14526,457004
2024-10-09 04:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,4266,456769
2024-10-09 13:00:00,50,49,50,49,51,50,51,50,50.0,49.0,50.0,50.0,49.0,138819,558136
2024-10-09 14:00:00,49,49,49,49,50,50,50,50,50.0,50.0,50.0,50.0,50.0,24392,582528
2024-10-09 15:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,7141,589669
2024-10-09 16:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,11984,600917
2024-10-09 17:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,18999,617221
2024-10-09 18:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,50.0,25014,642195
2024-10-09 19:00:00,49,49,49,49,50,50,50,50,50.0,49.0,50.0,50.0,49.0,45143,648004
2024-10-09 20:00:00,49,49,50,50,50,50,51,51,50.0,50.0,51.0,51.0,50.0,102323,729699
2024-10-09 21:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,206705,889754
2024-10-09 22:00:00,50,50,50,50,51,51,51,51,50.0,50.0,51.0,51.0,50.0,6408,889973
2024-10-09 23:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,51.0,5958,889973
2024-10-10 00:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,4967,890373
2024-10-10 01:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,51.0,5002,890373
2024-10-10 02:00:00,50,50,50,50,51,51,51,51,51.0,50.0,51.0,51.0,50.0,109284,890323
2024-10-10 03:00:00,50,50,50,50,51,51,51,51,51.0,51.0,51.0,51.0,51.0,22628,890323
2024-10-10 04:00:00,50,49,50,49,51,50,51,50,51.0,50.0,51.0,50.0,50.0,160829,989648
2024-10-10 13:00:00,49,49,51,51,50,50,52,52,50.0,50.0,52.0,52.0,51.0,66962,996523
2024-10-10 14:00:00,51,51,51,51,52,52,52,52,52.0,51.0,52.0,52.0,51.0,10106,1005232
2024-10-10 15:00:00,51,51,51,51,52,52,52,52,51.0,51.0,52.0,52.0,51.0,9931,1012535
2024-10-10 16:00:00,51,50,51,50,52,51,52,51,52.0,50.0,52.0,51.0,50.0,82520,1028748
2024-10-10 17:00:00,50,50,52,52,51,51,53,53,51.0,50.0,53.0,53.0,50.0,522472,1268166
2024-10-10 18:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,21788,1267194
2024-10-10 19:00:00,52,52,52,52,53,53,53,53,52.0,52.0,53.0,53.0,52.0,75789,1342146
2024-10-10 20:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,52.0,52.0,36024,1347437
2024-10-10 21:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,20677,1347437
2024-10-10 22:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,71575,1347437
2024-10-10 23:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,8507,1355288
2024-10-11 00:00:00,52,52,52,52,53,53,53,53,52.0,52.0,53.0,53.0,52.0,12009,1359281
2024-10-11 01:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,7485,1364766
2024-10-11 02:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,3745,1367963
2024-10-11 13:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,24195,1376787
2024-10-11 14:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,53829,1352565
2024-10-11 15:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,234898,1353570
2024-10-11 16:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,40469,1353943
2024-10-11 17:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,53.0,125782,1420239
2024-10-11 18:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,14733,1434972
2024-10-11 19:00:00,52,51,52,51,53,52,53,52,53.0,52.0,53.0,52.0,52.0,158796,1571592
2024-10-11 20:00:00,51,51,52,52,52,52,53,53,52.0,52.0,53.0,53.0,52.0,143434,1714926
2024-10-11 21:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,113632,1828517
2024-10-11 22:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,22336,1847762
2024-10-11 23:00:00,52,52,52,52,53,53,53,53,53.0,53.0,53.0,53.0,53.0,3476,1851238
2024-10-12 00:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,4764,1856002
2024-10-12 01:00:00,52,52,52,52,53,53,53,53,52.0,52.0,53.0,53.0,52.0,3541,1859524
2024-10-12 02:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,13244,1862768
2024-10-12 03:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,52.0,52.0,6175,1868943
2024-10-12 04:00:00,52,52,52,52,53,53,53,53,53.0,53.0,53.0,53.0,53.0,21854,1890797
2024-10-12 13:00:00,52,52,52,52,53,53,53,53,53.0,53.0,53.0,53.0,53.0,1570,1892367
2024-10-12 14:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,10339,1902606
2024-10-12 15:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,3551,1905949
2024-10-12 16:00:00,52,52,52,52,53,53,53,53,53.0,53.0,53.0,53.0,53.0,9143,1915092
2024-10-12 17:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,6747,1921666
2024-10-12 18:00:00,52,52,52,52,53,53,53,53,53.0,52.0,53.0,53.0,52.0,10434,1931784
2024-10-12 19:00:00,52,52,53,53,53,53,54,54,52.0,52.0,54.0,54.0,53.0,78204,1948875
2024-10-12 20:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,2679,1951454
2024-10-12 21:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,3828,1955049
2024-10-12 22:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,3979,1958903
2024-10-12 23:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,6461,1963237
2024-10-13 00:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,1527,1964710
2024-10-13 01:00:00,53,53,53,53,54,54,54,54,54.0,54.0,54.0,54.0,54.0,8246,1972956
2024-10-13 02:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,1372,1974256
2024-10-13 13:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,1636,1975576
2024-10-13 14:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,6260,1978561
2024-10-13 15:00:00,53,53,53,53,54,54,54,54,54.0,54.0,54.0,54.0,54.0,2650,1980961
2024-10-13 16:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,7338,1987459
2024-10-13 17:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,21669,1992355
2024-10-13 18:00:00,53,53,53,53,54,54,54,54,54.0,54.0,54.0,54.0,54.0,4582,1996937
2024-10-13 19:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,22970,1982575
2024-10-13 20:00:00,53,53,53,53,54,54,54,54,54.0,54.0,54.0,54.0,54.0,3506,1986081
2024-10-13 21:00:00,53,53,53,53,54,54,54,54,54.0,54.0,54.0,54.0,54.0,4222,1990303
2024-10-13 22:00:00,53,53,53,53,54,54,54,54,54.0,54.0,54.0,54.0,54.0,3536,1993839
2024-10-13 23:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,54.0,2012,1995849
2024-10-14 00:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,2587,1998224
2024-10-14 01:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,2611,2000331
2024-10-14 02:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,2085,2002216
2024-10-14 03:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,1280,2002230
2024-10-14 04:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,4458,2005384
2024-10-14 13:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,3947,2008887
2024-10-14 14:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,8736,2017513
2024-10-14 15:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,4185,2020682
2024-10-14 16:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,53.0,53.0,5704,2025931
2024-10-14 17:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,54.0,53.0,4933,2030437
2024-10-14 18:00:00,53,53,53,53,54,54,54,54,54.0,54.0,54.0,54.0,54.0,4301,2034738
2024-10-14 19:00:00,53,53,53,53,54,54,54,54,54.0,53.0,54.0,53.0,53.0,133382,2150841
2024-10-14 20:00:00,53,53,54,54,54,54,55,55,54.0,53.0,55.0,54.0,54.0,44448,2194612
2024-10-14 21:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,30466,2219626
2024-10-14 22:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,5056,2223995
2024-10-14 23:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,14199,2237339
2024-10-15 00:00:00,54,54,54,54,55,55,55,55,54.0,54.0,55.0,55.0,54.0,4767,2240781
2024-10-15 01:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,2690,2243015
